timestamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,activity
1761304397068481000,0.0,0.0,0.0,,,,jumping
1761304397088754000,0.0038623511791229,-0.1984140872955322,0.1067781448364257,1.384103536605835,-0.5726693272590637,0.0553580336272716,jumping
1761304397109026800,0.1104359775781631,-0.5705776214599609,-0.357060432434082,1.7597745656967163,-0.5659499764442444,0.0449736304581165,jumping
1761304397129299700,0.024906612932682,-0.6582159996032715,-0.974477767944336,1.7884844541549685,-0.5952706336975098,0.0168746560811996,jumping
1761304397139436300,-0.0018656514585018,-0.5098304748535156,-1.3363971710205078,1.6858620643615725,-0.8420529365539551,-0.0319931246340274,jumping
1761304397149572600,0.000688649713993,-0.448948860168457,-0.8653316497802734,1.6437135934829712,-1.019198656082153,-0.1010188683867454,jumping
1761304397159709200,0.2664339542388916,-0.350165843963623,-0.1825933456420898,1.643102765083313,-0.9965972900390624,-0.2262425571680069,jumping
1761304397169845500,0.7115997672080994,-0.190516710281372,0.4107465744018554,1.655930519104004,-0.8102889060974121,-0.4015557169914245,jumping
1761304397179982000,1.06290864944458,-0.029738426208496,0.1774625778198242,1.6137820482254028,-0.4798205196857452,-0.6031352877616882,jumping
1761304397200255000,1.2392364740371704,0.4534049034118652,-0.9317703247070312,1.2674317359924316,0.1756949424743652,-0.8865684270858765,jumping
1761304397220527900,0.0434078574180603,-0.0851697921752929,-1.472050666809082,0.8837432861328125,0.2117349356412887,-0.8413657546043396,jumping
1761304397230664400,-0.4031348824501037,-0.0299563407897949,-1.5796895027160645,0.6546755433082581,0.0632226914167404,-0.7497386336326599,jumping
1761304397250937300,-1.225505828857422,0.7092800140380859,-0.6610555648803711,0.1378987729549408,0.3326826989650726,-0.5029563903808594,jumping
1761304397261074000,-1.65949285030365,0.7048921585083008,-0.0639944076538086,-0.0264191441237926,0.5373165011405945,-0.3013767600059509,jumping
1761304397271210200,-2.040812730789185,0.9282355308532716,0.4623222351074219,-0.1265980899333953,0.7382852435112,-0.0912453085184097,jumping
1761304397281346800,-2.012893915176392,0.871483325958252,0.7900304794311523,-0.1516428291797638,0.817084550857544,0.1091125905513763,jumping
